"","kode_negara","tahun","produksi"
"1","AUS",1971,14226.194
"2","AUS",1972,15029.094
"3","AUS",1973,18720.577
"4","AUS",1974,18498.696
"5","AUS",1975,19736.07
"6","AUS",1976,20177.769
"7","AUS",1977,21259.31
"8","AUS",1978,20694.803
"9","AUS",1979,20828.964
"10","AUS",1980,19471.877
"11","AUS",1981,19007.475
"12","AUS",1982,18706.129
"13","AUS",1983,18220.054
"14","AUS",1984,22148.899
"15","AUS",1985,25468.86
"16","AUS",1986,26561.559
"17","AUS",1987,26399.764
"18","AUS",1988,26322.923
"19","AUS",1989,23679.705
"20","AUS",1990,26752.604
"21","AUS",1991,26717.935
"22","AUS",1992,23439.126
"23","AUS",1993,22940.108
"24","AUS",1994,21286.521
"25","AUS",1995,22718.44
"26","AUS",1996,20539.57
"27","AUS",1997,20494.396
"28","AUS",1998,22008.258
"29","AUS",1999,16551.631
"30","AUS",2000,25081.157
"31","AUS",2001,26611.828
"32","AUS",2002,30307.711
"33","AUS",2003,29403.176
"34","AUS",2004,25785.035
"35","AUS",2005,22928.552
"36","AUS",2006,20414.553
"37","AUS",2007,23214.306
"38","AUS",2008,21500.836
"39","AUS",2009,22170.045
"40","AUS",2010,23141.817
"41","AUS",2011,22232.029
"42","AUS",2012,20728.672
"43","AUS",2013,17979.347
"44","AUS",2014,16925.631
"45","AUS",2015,16313.153
"46","AUT",1971,2628.081
"47","AUT",1972,2515.406
"48","AUT",1973,2635.187
"49","AUT",1974,2295.13
"50","AUT",1975,2067.749
"51","AUT",1976,1960.149
"52","AUT",1977,1788.597
"53","AUT",1978,1818.035
"54","AUT",1979,1752.054
"55","AUT",1980,1469.858
"56","AUT",1981,1324.699
"57","AUT",1982,1280.035
"58","AUT",1983,1255.673
"59","AUT",1984,1192.737
"60","AUT",1985,1137.922
"61","AUT",1986,1110.514
"62","AUT",1987,1062.805
"63","AUT",1988,1192.737
"64","AUT",1989,1173.45
"65","AUT",1990,1166.344
"66","AUT",1991,1299.322
"67","AUT",1992,1197.812
"68","AUT",1993,1171.42
"69","AUT",1994,1115.589
"70","AUT",1995,1050.623
"71","AUT",1996,1006.974
"72","AUT",1997,986.905
"73","AUT",1998,973.476
"74","AUT",1999,1020.284
"75","AUT",2000,989.322
"76","AUT",2001,971.446
"77","AUT",2002,962.31
"78","AUT",2003,932.872
"79","AUT",2004,985.657
"80","AUT",2005,867.906
"81","AUT",2006,868.921
"82","AUT",2007,865.876
"83","AUT",2008,875.012
"84","AUT",2009,922.721
"85","AUT",2010,890.238
"86","AUT",2011,850.65
"87","AUT",2012,851.665
"88","AUT",2013,855.725
"89","AUT",2014,903.435
"90","AUT",2015,865.876
"91","BEL",1971,0
"92","BEL",1972,0
"93","BEL",1973,0
"94","BEL",1974,0
"95","BEL",1975,0
"96","BEL",1976,0
"97","BEL",1977,0
"98","BEL",1978,0
"99","BEL",1979,0
"100","BEL",1980,0
"101","BEL",1981,0
"102","BEL",1982,0
"103","BEL",1983,0
"104","BEL",1984,0
"105","BEL",1985,0
"106","BEL",1986,0
"107","BEL",1987,0
"108","BEL",1988,0
"109","BEL",1989,0
"110","BEL",1990,0
"111","BEL",1991,0
"112","BEL",1992,0
"113","BEL",1993,0
"114","BEL",1994,0
"115","BEL",1995,0
"116","BEL",1996,0
"117","BEL",1997,0
"118","BEL",1998,0
"119","BEL",1999,0
"120","BEL",2000,0
"121","BEL",2001,0
"122","BEL",2002,0
"123","BEL",2003,0
"124","BEL",2004,0
"125","BEL",2005,0
"126","BEL",2006,0
"127","BEL",2007,0
"128","BEL",2008,0
"129","BEL",2009,0
"130","BEL",2010,0
"131","BEL",2011,0
"132","BEL",2012,0
"133","BEL",2013,0
"134","BEL",2014,0
"135","BEL",2015,0
